KL
------------------------------------------------------------------------------------------------------------------
| Key                                                              | Hex Value | Dec Value | Unit              |
------------------------------------------------------------------------------------------------------------------
| Coder Wheel Average Diameter                                     | 0076C5    | 30.40     | mm                |
| Coder Wheel Average Delta Diameter                               | 000000    | 0.000     | mm                |
| Coder Wheel Distance Between Wheels                              | 045178    | 283.0     | mm                |
| Coder Wheel Pulse By Rotation                                    | 312D00    | 20000.0   | pulse / rotation  |
------------------------------------------------------------------------------------------------------------------
| Motor Wheel Average Diameter                                     | 00F230    | 62.00     | mm                |
| Motor Wheel Distance Between Wheels                              | 03A980    | 240.0     | mm                |
| Motor Wheel Rotation By Second At Full Speed/PWM                 | 001B58    | 7.000     | rotation / second |
| Motor Max Torque                                                 | 0061A8    | 25.00     | milliNewton       |
| Motor Reductor Ratio                                             | 0036B0    | 14.00     | -                 |
------------------------------------------------------------------------------------------------------------------
| Robot Weight                                                     | 001770    | 6000.0    | grams             |
------------------------------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------------------------------
| Key                                                              | Hex Value | Dec Value | Unit              |
------------------------------------------------------------------------------------------------------------------
| Computed : Robot Speed Max                                       | 1363.4    | mm / second       |
| Computed : Robot Acceleration Max                                | 940.8     | mm / Second^2     |
| Computed : Coder Wheels Distance from Center                     | 141.5     | mm                |
| Computed : Coder Left Wheel Length for One Pulse                 | 4776.0    | nanometer         |
| Computed : Coder Right Wheel Length for One Pulse                | 4776.0    | nanometer         |
| Computed : Coder Average Wheel Length for One Pulse              | 4776.0    | nanometer         |
| Computed : Coder Wheel / Motor Wheel Average Diameter Factor     | 0.490     | -                 |
| Computed : Coder Wheel Pulse By Seconds At FullSpeed (Forward)   | 285479.3  | pulse / second    |
| Computed : Coder Wheel Pulse By Seconds At FullSpeed (Rotation)  | 336627.7  | pulse / second    |
| Computed : Left Wheel mm for 90 deg                              | -222.2    | mm                |
| Computed : Right Wheel mm for 90 deg                             | 222.2     | mm                |
------------------------------------------------------------------------------------------------------------------
aKLPP
------------------------------------------------------------------------------------------------------------------
| PID | PID        | Prop. | Int.  | Deriv. | Max Int. | Prop. | Int.  | Deriv. | Max Int.      |
| Idx | Type       | (Dec).| (Dec) | (Dec)  | (Dec)    | (Hex) | (Hex) | (Hex)  | (Hex)         |
------------------------------------------------------------------------------------------------------------------
| 0   | NONE       | 0.000 | 0.000 | 0.000  | 0.000    | 0000  | 0000  | 0000   | 0000          |
| 1   | GO         | 3.000 | 0.000 | 25.60  | 0.000    | 001E  | 0000  | 0100   | 0000          |
| 2   | ROTATE     | 3.000 | 0.000 | 25.60  | 0.000    | 001E  | 0000  | 0100   | 0000          |
| 3   | FINAL      | 3.000 | 0.000 | 25.60  | 0.000    | 001E  | 0000  | 0100   | 0000          |
| 4   | MAINTAIN   | 5.000 | 0.000 | 51.20  | 0.000    | 0032  | 0000  | 0200   | 0000          |
| 5   | ADJUST     | 1.000 | 0.000 | 1.000  | 0.000    | 000A  | 0000  | 000A   | 0000          |
------------------------------------------------------------------------------------------------------------------
aPPPM
------------------------------------------------------------------------------------------------------------------
| idx  | motionType               | speed (Hex) | a (Hex)     | speed (Dec) | a (Dec)                         |
|      |                          | mm / sec    | mm / sec^2  | mm / sec    | mm / sec^2                      |
------------------------------------------------------------------------------------------------------------------
| 0    | FORWARD-BACKWARD         | 0400        | 0380        | 1024.0      | 896.0                           |
| 1    | ROTATION                 | 0300        | 0300        | 768.0       | 768.0                           |
| 2    | ROTATION_ONE_WHEEL       | 0200        | 0200        | 512.0       | 512.0                           |
| 3    | MAINTAIN_POSITION        | 0010        | 0010        | 16.00       | 16.00                           |
------------------------------------------------------------------------------------------------------------------
aPMMf0200aMfPOSITION_IN_PROGRESS->NO_POSITION_TO_REACH
NO_POSITION_TO_REACH->POSITION_IN_PROGRESS
PG
------------------------------------------------------------------------------------------------------------------
| Instr.| Pid   | Pid   | Normal | Real     | Normal  | Real     | Prop. | Int.  | Deriv.| PE x P| IE x I| DE x D| Normal | U     | End Integral | End Abs   | End Abs   |
| Type  | Time  | Type  | Speed  | Speed    | Position| Position | Error | Error | Error |       |       |       | U      |       | Time         | Speed Int.| U Int.    |
|       |       |       | mm / s | mm / s   | mm      | mm       | mm    | mm * s| mm / s|       |       |       |        |       |              |           |           |
------------------------------------------------------------------------------------------------------------------
| THETA | 0.040 | GO    | 36.29  | 0.000    | 0.735   | 0.000    | 0.735 | 0.735 | 0.735 | 2.205 | 0.000 | 18.82 | 6.655  | 27.68 |
| THETA | 0.057 | GO    | 51.46  | 2.821    | 1.478   | 0.047    | 1.430 | 2.165 | 0.695 | 4.291 | 0.000 | 17.79 | 9.436  | 31.52 |
| THETA | 0.063 | GO    | 56.71  | 15.90    | 1.794   | 0.140    | 1.653 | 3.819 | 0.223 | 4.961 | 0.000 | 5.724 | 10.39  | 21.08 |
| THETA | 0.073 | GO    | 65.88  | 20.05    | 2.422   | 0.346    | 2.076 | 5.895 | 0.422 | 6.228 | 0.000 | 10.81 | 12.08  | 29.12 |
| THETA | 0.083 | GO    | 75.03  | 19.18    | 3.141   | 0.542    | 2.599 | 8.495 | 0.523 | 7.799 | 0.000 | 13.40 | 13.75  | 34.95 |
| THETA | 0.093 | GO    | 84.20  | 25.41    | 3.957   | 0.802    | 3.154 | 11.65 | 0.555 | 9.464 | 0.000 | 14.20 | 15.44  | 39.11 |
| THETA | 0.104 | GO    | 93.70  | 30.21    | 4.899   | 1.122    | 3.777 | 15.42 | 0.622 | 11.33 | 0.000 | 15.92 | 17.18  | 44.44 |
| THETA | 0.110 | GO    | 99.00  | 43.16    | 5.469   | 1.377    | 4.091 | 19.51 | 0.314 | 12.27 | 0.000 | 8.061 | 18.15  | 38.49 |
| THETA | 0.120 | GO    | 108.1  | 49.43    | 6.530   | 1.884    | 4.646 | 24.16 | 0.554 | 13.93 | 0.000 | 14.19 | 19.83  | 47.97 |
| THETA | 0.131 | GO    | 117.6  | 58.66    | 7.730   | 2.507    | 5.223 | 29.38 | 0.576 | 15.66 | 0.000 | 14.76 | 21.58  | 52.01 |
| THETA | 0.142 | GO    | 127.2  | 69.47    | 9.035   | 3.247    | 5.787 | 35.17 | 0.564 | 17.36 | 0.000 | 14.45 | 23.33  | 55.15 |
| THETA | 0.152 | GO    | 136.4  | 90.94    | 10.38   | 4.179    | 6.206 | 41.38 | 0.418 | 18.61 | 0.000 | 10.71 | 25.01  | 54.35 |
| THETA | 0.162 | GO    | 145.9  | 102.0    | 11.88   | 5.263    | 6.622 | 48.00 | 0.415 | 19.86 | 0.000 | 10.64 | 26.75  | 57.26 |
| THETA | 0.173 | GO    | 155.4  | 106.4    | 13.49   | 6.397    | 7.093 | 55.09 | 0.471 | 21.28 | 0.000 | 12.07 | 28.51  | 61.86 |
| THETA | 0.179 | GO    | 161.1  | 109.6    | 14.48   | 7.085    | 7.399 | 62.49 | 0.305 | 22.19 | 0.000 | 7.810 | 29.54  | 59.54 |
| THETA | 0.190 | GO    | 170.6  | 129.7    | 16.25   | 8.467    | 7.784 | 70.28 | 0.384 | 23.35 | 0.000 | 9.855 | 31.29  | 64.49 |
| THETA | 0.201 | GO    | 180.1  | 144.9    | 18.11   | 10.00    | 8.107 | 78.38 | 0.323 | 24.32 | 0.000 | 8.277 | 33.03  | 65.63 |
| THETA | 0.211 | GO    | 189.7  | 155.5    | 20.08   | 11.66    | 8.420 | 86.81 | 0.313 | 25.26 | 0.000 | 8.026 | 34.78  | 68.07 |
| THETA | 0.222 | GO    | 199.2  | 177.7    | 22.15   | 13.55    | 8.598 | 95.40 | 0.177 | 25.79 | 0.000 | 4.538 | 36.53  | 66.86 |
| THETA | 0.232 | GO    | 208.7  | 192.1    | 24.31   | 15.59    | 8.723 | 104.1 | 0.125 | 26.17 | 0.000 | 3.214 | 38.27  | 67.66 |
| THETA | 0.243 | GO    | 218.3  | 200.7    | 26.59   | 17.73    | 8.859 | 112.9 | 0.135 | 26.57 | 0.000 | 3.475 | 40.02  | 70.08 |
| THETA | 0.249 | GO    | 223.9  | 196.9    | 27.98   | 18.97    | 9.011 | 122.0 | 0.152 | 27.03 | 0.000 | 3.897 | 41.06  | 71.99 |
| THETA | 0.260 | GO    | 233.8  | 216.9    | 30.50   | 21.36    | 9.143 | 131.1 | 0.131 | 27.43 | 0.000 | 3.369 | 42.87  | 73.67 |
| THETA | 0.271 | GO    | 243.6  | 228.6    | 33.13   | 23.88    | 9.254 | 140.4 | 0.111 | 27.76 | 0.000 | 2.847 | 44.68  | 75.29 |
