MOTOR BOARD 32
I2C Slave Write Address=54
Initializing I2C ...OK
I2C : type=MASTER, portIndex=I2C_BUS_PORT_4, CONF= 1000 0000àMOTOR BOARD 32
I2C Slave Write Address=54
Initializing I2C ...OK
I2C : type=MASTER, portIndex=I2C_BUS_PORT_4, CONF= 1000 0000 0000 0000
i2cCommonDebug    OK
i2cSlaveDebug     OK
i2cMasterDebug    OK
Kinematics        OK
EEPROM            OK
PWM_MOTOR         OK
Hctl Coders       OK
PID               OK
Pid Debug         OK
extendedMotion    OK
motion            OK
Trajectory        OK
test              OK
serialDebug       OK
system            OK
Clock             OK
timer             OK
log               OK
tof               OK
Mf0200aMfNO_POSITION_TO_REACH->POSITION_IN_PROGRESS
PG
------------------------------------------------------------------------------------------------------------------
| Instr.| Pid   | Pid     | Normal | Real     | Normal | Real     | Normal  | Real     | Prop. | Int.  | Deriv.| PE x P| IE x I| DE x D| Normal | U     | End Integral | End Abs   | End Abs   |
| Type  | Time  | Type    | Acc.   | Acc.     | Speed  | Speed    | Position| Position | Error | Error | Error |       |       |       | U      |       | Time         | Speed Int.| U Int.    |
|       |       |         | mm/s^2 | mm/s^2   | mm / s | mm / s   | mm      | mm       | mm    | mm * s| mm / s|       |       |       |        |       |              |           |           |
------------------------------------------------------------------------------------------------------------------
| THETA | 0.037 | GO      | 896.0  | 0.000    | 33.51  | 0.000    | 0.626   | 0.000    | 0.626 | 0.626 | 0.626 | 1.880 | 0.000 | 16.04 | 6.145  | 24.07 |
| THETA | 0.043 | GO      | 896.0  | 71.97    | 38.67  | 0.414    | 0.834   | 0.002    | 0.832 | 1.459 | 0.205 | 2.497 | 0.000 | 5.261 | 7.092  | 14.85 |
| THETA | 0.060 | GO      | 896.0  | 236.5    | 54.01  | 4.463    | 1.628   | 0.078    | 1.549 | 3.008 | 0.717 | 4.648 | 0.000 | 18.35 | 9.904  | 32.91 |
| THETA | 0.070 | GO      | 896.0  | 538.6    | 63.22  | 9.996    | 2.230   | 0.181    | 2.048 | 5.057 | 0.499 | 6.146 | 0.000 | 12.78 | 11.59  | 30.52 |
| THETA | 0.080 | GO      | 896.0  | 1121.5   | 72.45  | 21.55    | 2.929   | 0.403    | 2.525 | 7.583 | 0.476 | 7.577 | 0.000 | 12.20 | 13.28  | 33.07 |
| THETA | 0.091 | GO      | 896.0  | 269.8    | 81.68  | 24.33    | 3.723   | 0.654    | 3.069 | 10.65 | 0.543 | 9.207 | 0.000 | 13.91 | 14.97  | 38.09 |
| THETA | 0.101 | GO      | 896.0  | 408.2    | 91.23  | 28.68    | 4.644   | 0.959    | 3.684 | 14.33 | 0.615 | 11.05 | 0.000 | 15.76 | 16.72  | 43.54 |
| THETA | 0.112 | GO      | 896.0  | 1337.6   | 100.4  | 42.51    | 5.635   | 1.399    | 4.236 | 18.57 | 0.551 | 12.70 | 0.000 | 14.11 | 18.42  | 45.25 |
| THETA | 0.122 | GO      | 896.0  | 581.1    | 109.7  | 48.51    | 6.722   | 1.900    | 4.821 | 23.39 | 0.585 | 14.46 | 0.000 | 14.97 | 20.12  | 49.56 |
| THETA | 0.133 | GO      | 896.0  | 874.8    | 119.3  | 57.86    | 7.946   | 2.519    | 5.427 | 28.82 | 0.605 | 16.28 | 0.000 | 15.50 | 21.88  | 53.66 |
